publisher,city,country
GT Interactive,New York City,United States
GungHo Online Entertainment,Tokyo,Japan
Gust Co. Ltd.,Nagano,Japan
Hacker International,,Japan
HAL Laboratory,Tokyo,Japan
Hamster Corporation,Tokyo,Japan
HanbitSoft,,South Korea
Hasbro Interactive,California,United States
Headup Games,Düren,Germany
Hect,,Japan
HeR Interactive,"Bellevue, Washington",United States
Heureka-Klett,,Germany
Hex,"London, England",United Kingdom
Hewson Consultants,,United Kingdom
Hirameki,"Diamond Bar, California",United States
Hodder & Stoughton,"London, England",United Kingdom
Home Entertainment Suppliers,Sydney,Australia
Hooded Horse,"Dallas, Texas",United States
HopeLab,"Redwood City, California",United States
Houghton Mifflin Harcourt,"Boston, Massachusetts",United States
Hudson Soft,"Minato, Tokyo",Japan
Human Engineered Software,"Brisbane, California",United States
Human Entertainment,Tokyo,Japan
Humble Bundle,"San Francisco, California",United States
HummingBirdSoft,,Japan
Humongous Entertainment,"City of Industry, California",United States
IBM,"Armonk, New York",United States
Iceberg Interactive,Haarlem,The Netherlands
ICOM Simulations,"Wheeling, Illinois",United States
Idea Factory,Tokyo,Japan
id Software,"Richardson, Texas",United States
Ignition Entertainment,"Essex, England",United Kingdom
Illusion Soft,Yokohama,Japan
Imageepoch,Tokyo,Japan
Image Works,,United Kingdom
Imagic,California,United States
Imagine Software,"Liverpool, England",United Kingdom
Impressions Games,"Cambridge, Massachusetts",United States
Incentive Software,"Reading, Berkshire",United Kingdom
Incredible Technologies,"Vernon Hills, Illinois",United States
index+,,France
indiePub Entertainment,"Cincinnati, Ohio",United States
Infocom,"Cambridge, Massachusetts",United States
Infogrames,Lyon,France
Innerprise Software,"Hunt Valley, Maryland",United States
Inscape,Los Angeles,United States
Intellivision Entertainment,,United States
Interactive Magic,"Cary, North Carolina",United States
Interceptor Micros,Tadley,United Kingdom
Interchannel,Tokyo,Japan
Interplay Entertainment,"Beverly Hills, California",United States
Introversion Software,Walton-on-Thames,United Kingdom
INTV Corporation,,United States
inXile Entertainment,"Newport Beach, California",United States
iQue,Suzhou,China
Irem,Tokyo,Japan
ITE Media,Copenhagen,Denmark
Jaleco,,Japan
JAST USA,"San Diego, California",United States
Jester Interactive,Wales,United Kingdom
Johnson & Johnson,"New Brunswick, New Jersey",United States
JoWooD Productions,Liezen,Austria
JumpStart Games (formerly Knowledge Adventure),"Los Angeles, California",United States
K2 Network (Gamersfirst),"Irvine, California",United States
Kakao Games,Jeju City,South Korea
Kalisto Entertainment,Bordeaux,France
Kalypso Media,Worms,Germany
Kaneko,Tokyo,Japan
Kaypro,"San Diego, California",United States
Kee Games,California,United States
Kemco,,Japan
Ketchapp,Paris,France
Kepler Interactive,,United Kingdoms
King Games,Miami,Florida
KID,Tokyo,Japan
Kingsoft,Aachen,Germany
King Records,Tokyo,Japan
Koch Media,,Germany
Kodansha,Tokyo,Japan
Koei,"Ashikaga, Tochigi",Japan
Koei Tecmo,,Japan
Kogado Studio,Tokyo,Japan
Konami,Tokyo,Japan
Kongregate,,United States
Krisalis Software,"Rotherham, England",United Kingdom
KSS,,Japan
Kure Software Koubou,,Japan
Kuro Games,Guangzhou,China
Lankhor,Paris,France
Le Lombard,,Belgium
Kwalee,"Leamington Spa, England",United Kingdom
Legacy Interactive,"Hollywood, California",United States
Legendo Entertainment,Gothenburg,Sweden
Legend Entertainment,"Chantilly, Virginia",United States
Lego Interactive,"London, England",United Kingdom
Leland Corporation,"El Cajon, California",United States
Level-5,Fukuoka,Japan
Level 9 Computing,,United Kingdom
Limited Run Games,"Raleigh, North Carolina",United States
Linux Game Publishing,"Nottingham, England",United Kingdom
Lighthouse Interactive,Haarlem,The Netherlands
LJN,New York City,United States
LK Avalon,Świlcza,Poland
Llamasoft,Wales,United Kingdom
Lock 'n Load Publishing,"Pueblo, Colorado",United States
Logotron Ltd,"Cambridge, England",United Kingdom
Loki Software,"Tustin, California",United States
Loriciel,,France
LucasArts,"San Francisco, California",United States
Lump of Sugar,,Japan
MacPlay,"Dallas, Texas",United States
MacSoft,"Plymouth, Minnesota",United States
Mad Catz,"San Diego, California",United States
Magical Company,Kobe,Japan
Magic Bytes,Gütersloh,Germany
Mages (formerly 5pb.),Tokyo,Japan
Magnavox,"Napa, California",United States
Mr Chip Software,Chester,United Kingdom
magnussoft,Kesselsdorf,Germany
Mandarin Software,Adlington,United Kingdom
MangaGamer,,Japan
Martech,Pevensey Bay,United Kingdom
Majesco Entertainment,"Edison, New Jersey",United States
Marvelous,Tokyo,Japan
Marvelous Entertainment,Tokyo,Japan
Mastertronic,,United Kingdom
Mastertronic Group,Huntingdon,United Kingdom
Mastiff,San Francisco,California
Matrix Games,"Staten Island, New York",United States
Mattel,"El Segundo, California",United States
Mattel163,"Walnut Creek, California, United States Hong Kong",China
Maximum Games,"Walnut Creek, California",United States
Maxis,"Emeryville, California",United States
Max Design,Schladming,Austria
MC2,Paris,France
McDonald's,Chicago,United States
MC Lothlorien,,United Kingdom
MECC,"Brooklyn Center, Minnesota",United States
Med Systems Software,"Chapel Hill, North Carolina",United States
MediaWorks,Tokyo,Japan
Media Factory,Tokyo,Japan
Media Rings,Tokyo,Japan
Mega Enterprise,Seoul,South Korea
Megatech Software,California,United States
Melbourne House,Melbourne,Australia
Meldac,,Japan
"Metro3D, Inc.","San Jose, California",United States
Metropolis Software,Warsaw,Poland
MGM Interactive,,United States
Microdeal,"St Austell, Cornwall, England",United Kingdom
Microforum International,,Canada
Microids,,France
MicroIllusions,"Granada Hills, California",United States
MicroProse,"Hunt Valley, Maryland",United States
Microsoft,"Redmond, Washington",United States
Microsphere,"London, England",United Kingdom
Microcabin,,Japan
Micrografx,"Richardson, Texas",United States
MicroGraphic Image,,United States
Micro Genius,Taipei,Taiwan
Micro Power,"Leeds, England",United Kingdom
Midway Games,"Chicago, Illinois",United States
Midway Manufacturing,"Chicago, Illinois",United States
Mikro-Gen,Bracknell,United Kingdom
MileStone Inc.,Tokyo,Japan
Millennium Interactive,"Cambridge, England",United Kingdom
Milton Bradley Company,"East Longmeadow, Massachusetts",United States
Mindcraft,"Torrance, California",United States
Mindscape,"Novato, California",United States
Minori,,Japan
Mirrorsoft,"London, England",United Kingdom
Mitchell Corporation,Tokyo,Japan
Mode 7 Games,East Sussex,England
Modus Games,"Walnut Creek, California",United States
Mojang Studios,Stockholm,Sweden
monochrom,Vienna,Austria
Monolith Productions,"Kirkland, Washington",United States
Monte Cristo,Paris,France
Moonstone,,Japan
MOSS,Tokyo,Japan
Motown Games,,United States
Mountain King Studios,"Chicago, Illinois",United States
MTO,Yokohama,Japan
MTV Games,New York City,United States
Mud Duck Productions,"Rockville, Maryland",United States
Muse Software,"Monrovia, Maryland",United States
MumboJumbo,"Dallas, Texas",United States
Mystique,,United States
Nacon (formerly Bigben Interactive SA),Lesquin,France
Namco,Tokyo,Japan
National Aeronautics & Space Administration,"Washington, D.C.",United States
Natsume Atari,Tokyo,Japan
Natsume Inc.,Burlingame,California
Navel,,Japan
Naxat Soft,Tokyo,Japan
NBCUniversal,Midtown Manhattan,New York City
NCsoft,Seoul,South Korea
NEC Corporation,Tokyo,Japan
Neko Entertainment,Montreuil,France
Netbabyworld,Gothenburg,Sweden
Netdragon,Fuzhou,China
NetEase,Guangzhou,China
New Blood Interactive,,
New Generation Software,,United Kingdom
Newgrounds,"Glenside, Pennsylvania",United States
NewKidCo,"Manhattan, New York",United States
New World Computing,"Agoura Hills, California",United States
The New York Times Company,New York City,United States
Nexon,Seoul,South Korea
Nichibutsu,,Japan
Nihon Falcom,,Japan
Nintendo,Kyoto,Japan
Nippon Ichi Software,,Japan
Nitroplus,Tokyo,Japan
Novagen Software,"Birmingham, England",United Kingdom
Nokia,Espoo,Finland
No More Robots,Manchester,United Kingdom
Nordcurrent,Vilnius,Lithuania
NovaLogic,"Calabasas, California",United States
NTDEC,Taipei,Taiwan
